kilometraje;precio;año;modelo_Model 3;modelo_Model S;modelo_Model Y;color_azul;color_blanco;color_gris;color_negro;color_plateado;color_rojo;pais_España;color_granate;color_marron;color_plata;modelo_Model X;pais_Francia;pais_Portugal
2622;82010;2024;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
6196;88990;2024;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
792;90610;2024;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
551;90770;2024;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
881;91500;2024;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
28;92030;2024;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
17;97750;2024;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
503;99600;2024;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
3652;101480;2024;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
99;102270;2024;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;102270;2024;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
1700;102540;2024;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
0;102580;2024;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
25;111850;2024;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
21;115680;2024;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
19;117100;2024;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
6671;35380;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5390;35640;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5001;35720;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
6577;36270;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;36470;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
5580;36470;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
7232;36740;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5550;37160;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5656;37310;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
0;37520;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;37520;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;37770;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;38070;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;38070;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;38470;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;38470;2024;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
3351;38470;2024;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;38870;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;39120;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;39120;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;39370;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;39420;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;39420;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
15;39740;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;39820;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;40070;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;41470;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;42770;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
0;43820;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
0;44370;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2204;45980;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
4790;46940;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
5875;47450;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5797;47470;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
2051;47650;2024;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
223;48340;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
13;48360;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
223;48570;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
1203;48660;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;48760;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;49040;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
25;49060;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
4446;49280;2024;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
0;49810;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
440;49930;2024;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
3362;49990;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;50060;2024;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;50060;2024;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
0;50060;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;50060;2024;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
5949;42750;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
2798;43440;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
0;44260;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
6282;44490;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
6998;44590;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
5091;44970;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
16846;45500;2024;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
0;45560;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
0;45560;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
7986;45560;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
8013;45560;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
1317;45750;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
5128;45990;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
1011;46790;2024;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
4075;46830;2024;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
1991;46930;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
3293;47090;2024;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
4462;47580;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;47660;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
7085;48110;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
2952;48210;2024;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
2376;48210;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
3274;49030;2024;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
2036;49040;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;49160;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;49410;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
211;49790;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
26;49830;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
400;49840;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
3723;49970;2024;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
0;50160;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
4042;50500;2024;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
3179;50560;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
2501;51020;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
5;51070;2024;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
2857;51420;2024;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
0;51760;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;51760;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;51760;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
1520;52550;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
0;52810;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
26;53050;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;53060;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
0;53060;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
10;53090;2024;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
565;54910;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;55070;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;55070;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
0;55070;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
2276;55220;2024;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
24000;31990;2015;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
39000;33999;2023;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
96000;48900;2019;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
