kilometraje;precio;año;modelo_Model 3;modelo_Model S;modelo_Model X;modelo_Model Y;color_azul;color_blanco;color_gris;color_marron;color_negro;color_plata;color_rojo;pais_España;pais_Francia;pais_Portugal
6197;88890;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
997;90270;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
577;90520;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
1151;91080;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
27;91790;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
16;97500;2024;False;True;False;False;False;False;False;False;False;True;False;True;False;False
503;99600;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
3652;101270;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
98;102270;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
0;102270;2024;False;True;False;False;False;True;False;False;False;False;False;True;False;False
1700;102320;2024;False;True;False;False;False;False;False;False;True;False;False;True;False;False
0;102330;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
25;111430;2024;False;True;False;False;False;False;False;False;False;True;False;True;False;False
21;115240;2024;False;True;False;False;True;False;False;False;False;False;False;True;False;False
20;116660;2024;False;True;False;False;False;False;True;False;False;False;False;True;False;False
3057;36050;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
6578;36190;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
5915;37010;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;37770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
39;38080;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
3906;38300;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;38470;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;38470;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
15;38520;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
73;38770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;39120;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
0;41470;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
2203;42640;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;42770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
4790;43560;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;43750;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
7381;43870;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
6448;44060;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
2051;44360;2024;True;False;False;False;False;False;False;False;False;False;True;True;False;False
0;44370;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
13;45070;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
222;45220;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
1203;45370;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;45470;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;45750;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
26;45770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
4446;45990;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;46530;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
3380;46600;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
440;46640;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;46770;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;46770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
13;46990;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;47470;2024;True;False;False;False;False;False;False;False;False;True;False;True;False;False
0;48120;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;48370;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
20;49070;2024;True;False;False;False;False;True;False;False;False;False;False;True;False;False
0;49420;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
3853;54660;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
3325;54860;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
1726;55390;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
13;56020;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
0;59770;2024;True;False;False;False;True;False;False;False;False;False;False;True;False;False
0;59770;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;60820;2024;True;False;False;False;False;False;False;False;True;False;False;True;False;False
0;60820;2024;True;False;False;False;False;False;True;False;False;False;False;True;False;False
3648;95860;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
5936;100160;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
4086;100570;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
1015;100940;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
5681;102220;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
1405;102640;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;104370;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
208;104730;2024;False;False;True;False;False;False;True;False;False;False;False;True;False;False
34;106050;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
3295;106910;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;107870;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
23;109540;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
3206;109710;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
0;110270;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
60;111440;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
32;113820;2024;False;False;True;False;False;False;True;False;False;False;False;True;False;False
0;115670;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;116170;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
0;118070;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
0;118070;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
92;118070;2024;False;False;True;False;False;True;False;False;False;False;False;True;False;False
0;118720;2024;False;False;True;False;False;False;False;False;False;True;False;True;False;False
0;119670;2024;False;False;True;False;False;False;False;False;True;False;False;True;False;False
25;119820;2024;False;False;True;False;False;False;False;False;False;False;True;True;False;False
8864;42140;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
18609;42150;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
5950;42670;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
2582;43780;2024;False;False;False;True;False;False;False;False;False;True;False;True;False;False
0;44260;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
6314;44390;2024;False;False;False;True;False;True;False;False;False;False;False;True;False;False
5673;44770;2024;False;False;False;True;False;False;False;False;True;False;False;True;False;False
