modelo;kilometraje;precio;color;año;pais
0;6197;88890;0;2024;0
0;997;90270;0;2024;0
0;577;90520;1;2024;0
0;1151;91080;2;2024;0
0;27;91790;2;2024;0
0;16;97500;3;2024;0
0;503;99600;4;2024;0
0;3652;101270;1;2024;0
0;98;102270;4;2024;0
0;0;102270;4;2024;0
0;1700;102320;1;2024;0
0;0;102330;2;2024;0
0;25;111430;3;2024;0
0;21;115240;0;2024;0
0;20;116660;2;2024;0
1;3057;36050;3;2024;0
1;6578;36190;0;2024;0
1;5915;37010;3;2024;0
1;0;37770;0;2024;0
1;39;38080;3;2024;0
1;3906;38300;2;2024;0
1;0;38470;3;2024;0
1;0;38470;5;2024;0
1;15;38520;5;2024;0
1;73;38770;1;2024;0
1;0;39120;0;2024;0
1;0;41470;4;2024;0
1;2203;42640;4;2024;0
1;0;42770;1;2024;0
1;4790;43560;4;2024;0
1;0;43750;1;2024;0
1;7381;43870;3;2024;0
1;6448;44060;3;2024;0
1;2051;44360;5;2024;0
1;0;44370;1;2024;0
1;13;45070;1;2024;0
1;222;45220;1;2024;0
1;1203;45370;3;2024;0
1;0;45470;4;2024;0
1;0;45750;3;2024;0
1;26;45770;0;2024;0
1;4446;45990;3;2024;0
1;0;46530;0;2024;0
1;3380;46600;0;2024;0
1;440;46640;4;2024;0
1;0;46770;2;2024;0
1;0;46770;0;2024;0
1;13;46990;3;2024;0
1;0;47470;3;2024;0
1;0;48120;2;2024;0
1;0;48370;2;2024;0
1;20;49070;4;2024;0
1;0;49420;2;2024;0
1;3853;54660;1;2024;0
1;3325;54860;2;2024;0
1;1726;55390;1;2024;0
1;13;56020;2;2024;0
1;0;59770;0;2024;0
1;0;59770;1;2024;0
1;0;60820;1;2024;0
1;0;60820;2;2024;0
2;3648;95860;4;2024;0
2;5936;100160;4;2024;0
2;4086;100570;1;2024;0
2;1015;100940;4;2024;0
2;5681;102220;1;2024;0
2;1405;102640;4;2024;0
2;0;104370;4;2024;0
2;208;104730;2;2024;0
2;34;106050;4;2024;0
2;3295;106910;4;2024;0
2;0;107870;3;2024;0
2;23;109540;3;2024;0
2;3206;109710;1;2024;0
2;0;110270;4;2024;0
2;60;111440;4;2024;0
2;32;113820;2;2024;0
2;0;115670;4;2024;0
2;0;116170;1;2024;0
2;0;118070;3;2024;0
2;0;118070;4;2024;0
2;92;118070;4;2024;0
2;0;118720;3;2024;0
2;0;119670;1;2024;0
2;25;119820;5;2024;0
3;8864;42140;1;2024;0
3;18609;42150;4;2024;0
3;5950;42670;1;2024;0
3;2582;43780;3;2024;0
3;0;44260;4;2024;0
3;6314;44390;4;2024;0
3;5673;44770;1;2024;0
3;31;45090;5;2024;0
3;0;45310;4;2024;0
3;17306;45370;3;2024;0
3;8712;45370;4;2024;0
3;8297;45420;4;2024;0
3;0;45560;0;2024;0
3;0;45560;1;2024;0
3;1317;45660;4;2024;0
3;5127;45890;0;2024;0
3;0;46360;4;2024;0
3;4317;46700;5;2024;0
3;1011;46720;5;2024;0
3;0;46760;4;2024;0
3;1991;46840;4;2024;0
3;0;46860;3;2024;0
3;3485;46950;5;2024;0
3;0;47140;1;2024;0
3;4460;47490;4;2024;0
3;0;47660;0;2024;0
3;7086;48060;4;2024;0
3;0;48060;0;2024;0
3;0;48060;1;2024;0
3;2545;48070;4;2024;0
3;3294;48930;3;2024;0
3;2036;49040;4;2024;0
3;0;49110;1;2024;0
3;0;49360;5;2024;0
3;0;49410;0;2024;0
