modelo;precio;año;kilometraje;color;pais
Model 3;33500;2023;39315;blanco;España
Model 3;36000;2024;1817;blanco;España
Model 3;37000;2024;676;blanco;España
Model 3;37000;2024;728;blanco;España
Model 3;41470;2025;10;blanco;España
Model Y;42150;2024;18609;blanco;España
Model 3;42300;2023;29444;blanco;España
Model 3;42640;2024;2204;blanco;España
Model 3;43560;2024;4790;blanco;España
Model Y;44260;2025;0;blanco;España
Model Y;44390;2024;6314;blanco;España
Model Y;45310;2024;8;blanco;España
Model Y;45370;2024;8686;blanco;España
Model Y;45420;2024;8298;blanco;España
Model 3;45470;2025;9;blanco;España
Model Y;45660;2024;1317;blanco;España
Model Y;46360;2025;0;blanco;España
Model 3;46640;2024;440;blanco;España
Model Y;46760;2025;0;blanco;España
Model Y;46840;2024;1991;blanco;España
Model Y;47490;2024;4462;blanco;España
Model Y;48060;2023;7086;blanco;España
Model Y;48070;2024;2516;blanco;España
Model Y;49040;2023;2036;blanco;España
Model 3;49070;2024;21;blanco;España
Model Y;49460;2024;907;blanco;España
Model Y;49740;2024;55;blanco;España
Model Y;49840;2024;400;blanco;España
Model Y;51760;2024;0;blanco;España
Model Y;51760;2023;0;blanco;España
Model Y;53050;2024;26;blanco;España
Model Y;54910;2024;565;blanco;España
Model Y;55140;2024;2291;blanco;España
Model Y;55350;2024;9;blanco;España
Model Y;55640;2024;0;blanco;España
Model Y;56420;2025;10;blanco;España
Model Y;58350;2024;7;blanco;España
Model Y;58970;2025;0;blanco;España
Model S;77200;2023;13178;blanco;España
Model S;81800;2023;6300;blanco;España
Model X;84000;2023;20073;blanco;España
Model X;84600;2023;15035;blanco;España
Model S;85700;2023;15040;blanco;España
Model X;95860;2024;3649;blanco;España
Model S;99600;2023;503;blanco;España
Model X;100160;2024;5936;blanco;España
Model X;100940;2024;979;blanco;España
Model S;102270;2023;0;blanco;España
Model S;102270;2023;98;blanco;España
Model X;102640;2023;1405;blanco;España
Model X;104370;2023;31;blanco;España
Model X;106050;2024;34;blanco;España
Model X;106910;2023;3295;blanco;España
Model X;110270;2023;0;blanco;España
Model X;111440;2024;60;blanco;España
Model X;115670;2023;0;blanco;España
Model X;118070;2023;0;blanco;España
Model X;118070;2023;92;blanco;España
Model 3;36190;2024;6578;azul;España
Model 3;37770;2025;0;azul;España
Model 3;39120;2024;0;azul;España
Model 3;39500;2022;37484;azul;España
Model Y;45560;2025;0;azul;España
Model 3;45770;2024;25;azul;España
Model Y;45890;2024;5128;azul;España
Model 3;46530;2024;15;azul;España
Model 3;46600;2024;3380;azul;España
Model 3;46770;2024;10;azul;España
Model Y;47660;2025;4;azul;España
Model X;47900;2018;108044;azul;España
Model Y;48060;2025;4;azul;España
Model Y;49410;2025;0;azul;España
Model Y;50950;2024;2501;azul;España
Model Y;51420;2024;2857;azul;España
Model Y;56740;2024;612;azul;España
Model Y;58970;2024;9;azul;España
Model 3;59770;2025;10;azul;España
Model Y;60270;2024;7;azul;España
Model S;88890;2023;6196;azul;España
Model S;90270;2024;942;azul;España
Model S;115240;2024;21;azul;España
Model 3;28900;2019;60048;negro;España
Model 3;31600;2022;15290;negro;España
Model 3;32400;2020;73607;negro;España
Model 3;33000;2021;76956;negro;España
Model S;33200;2018;70614;negro;España
Model S;33900;2018;68302;negro;España
Model 3;34000;2021;42189;negro;España
Model 3;38770;2024;73;negro;España
Model Y;42140;2024;8864;negro;España
Model Y;42670;2024;5950;negro;España
Model 3;42770;2025;0;negro;España
Model 3;43750;2024;15;negro;España
Model Y;43800;2023;48582;negro;España
Model 3;44370;2025;9;negro;España
Model Y;44770;2024;5624;negro;España
Model 3;45070;2024;13;negro;España
Model 3;45220;2024;223;negro;España
Model Y;45560;2024;0;negro;España
Model Y;47140;2024;9;negro;España
Model Y;48060;2025;0;negro;España
Model Y;49110;2025;2;negro;España
Model Y;52480;2024;1520;negro;España
Model Y;52990;2024;12;negro;España
Model Y;53060;2025;2;negro;España
Model 3;54660;2024;3853;negro;España
Model 3;55390;2024;1726;negro;España
Model 3;59770;2024;0;negro;España
Model 3;60820;2024;0;negro;España
Model Y;61500;2024;395;negro;España
Model Y;61620;2024;6;negro;España
