modelo;precio;kilometraje;año;color;pais
Model 3;25990;63000;2022;azul;España
Model 3;28490;47479;2020;azul;España
Model 3;25940;124839;2019;azul;España
Model 3;38890;89831;2019;azul;España
Model 3;29700;21318;2020;azul;España
Model 3;48900;96000;2019;azul;España
Model 3;31500;49000;2021;azul;España
Model 3;41500;2490;2024;azul;España
Model 3;37900;74000;2017;azul;España
Model 3;35000;220000;2014;azul;España
Model 3;30490;62000;2022;azul;España
Model 3;28990;39413;2019;azul;España
Model 3;28995;56064;2022;azul;España
Model 3;54900;58000;2020;azul;España
Model 3;25850;93000;2021;azul;España
Model 3;33990;60000;2021;azul;España
Model 3;31900;69800;2021;azul;España
Model 3;24900;128000;2019;azul;España
Model 3;49999;35000;2020;azul;España
Model 3;25000;137183;2019;azul;España
Model 3;25850;93000;2021;azul;España
Model 3;29790;57671;2022;azul;España
Model 3;30490;62000;2022;azul;España
Model 3;49900;58500;2019;azul;España
Model 3;21500;129446;2020;azul;España
Model 3;25990;63000;2022;azul;España
Model 3;37000;43000;2021;azul;España
Model 3;24995;78713;2021;azul;España
Model 3;27950;57000;2022;azul;España
Model 3;27950;57000;2022;azul;España
Model 3;27850;65000;2022;azul;España
Model 3;27850;65000;2022;azul;España
Model 3;28990;57000;2021;blanco;España
Model 3;44800;170000;2019;blanco;España
Model 3;24999;71000;2019;blanco;España
Model 3;39900;46686;2023;blanco;España
Model 3;59900;56000;2017;blanco;España
Model 3;79990;18000;2021;blanco;España
Model 3;60900;52000;2020;blanco;España
Model 3;39900;8900;2022;blanco;España
Model 3;54990;85000;2019;blanco;España
Model 3;38900;41000;2022;blanco;España
Model 3;33900;77000;2020;blanco;España
Model 3;89900;16000;2023;blanco;España
Model 3;37500;39900;2021;blanco;España
Model 3;39990;33900;2023;blanco;España
Model 3;87400;15040;2023;blanco;España
Model 3;42999;110000;2019;blanco;España
Model 3;31890;98226;2021;blanco;España
Model 3;32975;69000;2021;blanco;España
Model 3;28900;52000;2021;blanco;España
Model 3;47900;52000;2017;blanco;España
Model 3;49900;1;2024;blanco;España
Model 3;33990;42901;2021;blanco;España
Model 3;33900;77000;2020;blanco;España
Model 3;42950;9294;2023;blanco;España
Model 3;26850;77000;2020;blanco;España
Model 3;85200;4430;2023;blanco;España
Model 3;27490;27277;2020;blanco;España
Model 3;32490;36000;2021;blanco;España
Model 3;28480;84188;2020;blanco;España
Model 3;37900;28000;2019;blanco;España
Model 3;26850;77000;2020;blanco;España
Model 3;27990;31886;2019;blanco;España
Model 3;29900;88000;2019;blanco;España
Model 3;27490;127000;2020;blanco;España
Model 3;48990;38091;2020;blanco;España
Model 3;35900;55000;2021;blanco;España
Model 3;32500;14000;2020;blanco;España
Model 3;33500;31000;2022;blanco;España
Model 3;32900;120000;2019;blanco;España
Model 3;29900;116000;2020;blanco;España
Model 3;32990;60000;2022;blanco;España
Model 3;23900;95000;2019;blanco;España
Model 3;28980;87523;2021;blanco;España
Model 3;49900;1;2024;blanco;España
Model 3;43900;48523;2022;blanco;España
Model 3;25450;113000;2020;blanco;España
Model 3;28990;169800;2019;blanco;España
Model 3;29850;26000;2020;blanco;España
Model 3;26900;88000;2021;blanco;España
Model 3;35900;58000;2022;blanco;España
Model 3;25450;113000;2020;blanco;España
Model 3;29850;26000;2020;blanco;España
Model 3;46990;7925;2024;blanco;España
Model 3;37500;49900;2022;blanco;España
Model 3;27500;120000;2020;blanco;España
Model 3;35500;56000;2021;blanco;España
Model 3;27490;27277;2020;blanco;España
Model 3;83000;9094;2023;blanco;España
Model 3;32490;36000;2021;blanco;España
Model 3;27990;53000;2019;blanco;España
Model 3;46990;7925;2024;blanco;España
Model 3;39900;46686;2023;blanco;España
Model 3;24990;180000;2019;blanco;España
Model 3;37000;16;2024;blanco;España
Model 3;28990;57000;2021;blanco;España
Model S;24550;188000;2015;blanco;España
Model S;34500;23000;2023;blanco;España
Model S;32990;63776;2021;blanco;España
Model S;30990;44998;2023;blanco;España
Model S;21800;124650;2020;blanco;España
Model S;41900;51900;2022;blanco;España
Model S;28890;90000;2020;blanco;España
Model S;33990;42901;2021;blanco;España
Model S;28480;84188;2020;blanco;España
Model S;30990;44998;2023;blanco;España
Model S;27990;127000;2020;blanco;España
Model S;32990;63776;2021;blanco;España
Model S;30990;62000;2021;blanco;España
Model S;37990;421;2024;blanco;España
Model S;32990;60000;2022;blanco;España
Model S;33998;57525;2022;blanco;España
Model X;43900;91000;2016;blanco;España
Model X;31890;98226;2021;blanco;España
Model X;42300;29447;2022;blanco;España
Model X;84000;20074;2023;blanco;España
Model X;40990;11421;2024;blanco;España
Model 3;31999;69855;2019;rojo;España
Model 3;26990;138000;2020;gris;España
Model 3;43990;84179;2018;gris;España
Model 3;79900;15000;2022;gris;España
Model 3;39890;114114;2019;gris;España
Model 3;37490;58431;2021;gris;España
Model 3;36490;97000;2017;gris;España
Model 3;54900;58000;2021;gris;España
Model 3;28995;175268;2018;gris;España
Model 3;79900;15000;2022;gris;España
Model 3;58498;68000;2019;gris;España
Model 3;259900;1;2024;gris;España
Model 3;35995;10000;2023;gris;España
Model 3;39900;59000;2021;gris;España
Model 3;46500;37500;2019;gris;España
Model 3;29490;68000;2022;gris;España
Model 3;46500;37500;2019;gris;España
Model 3;24850;128000;2020;gris;España
Model 3;50900;5000;2024;gris;España
Model 3;34990;30686;2021;gris;España
Model 3;24900;88000;2019;gris;España
Model 3;35500;46500;2021;gris;España
Model 3;36300;59990;2021;gris;España
Model 3;23950;155000;2020;gris;España
Model 3;30950;51600;2021;gris;España
Model 3;31500;49990;2022;gris;España
Model 3;55900;51426;2019;gris;España
Model 3;43500;125000;2017;gris;España
Model 3;28000;175000;2015;gris;España
Model 3;24850;128000;2020;gris;España
Model 3;31490;44900;2021;gris;España
Model 3;29490;68000;2022;gris;España
Model 3;37890;55852;2023;gris;España
Model 3;21500;128084;2020;gris;España
Model 3;37990;74862;2020;gris;España
Model 3;25800;118900;2017;gris;España
Model 3;25000;73000;2019;gris;España
Model 3;39900;94000;2018;gris;España
Model 3;26890;38000;2020;gris;España
Model 3;27950;53000;2022;gris;España
Model 3;33990;99000;2017;gris;España
Model 3;27950;53000;2022;gris;España
Model 3;37990;74862;2020;gris;España
Model 3;31490;44900;2021;gris;España
Model 3;78990;39980;2023;gris;España
Model S;25990;98000;2015;marron;España
Model S;20999;382100;2017;marron;España
Model S;26995;60000;2016;marron;España
Model S;32000;32000;2014;marron;España
Model S;25990;98000;2015;marron;España
Model S;32990;162000;2019;negro;España
Model S;38990;143350;2018;negro;España
Model S;24900;104900;2019;negro;España
Model S;45900;49000;2019;negro;España
Model S;38990;143350;2018;negro;España
Model S;44999;30000;2022;negro;España
Model S;39990;17000;2023;negro;España
Model S;36900;55000;2021;negro;España
Model S;31800;124645;2020;negro;España
Model S;35250;36413;2022;negro;España
Model S;48600;78590;2016;negro;España
Model S;42900;165000;2018;negro;España
Model S;49900;20000;2022;negro;España
Model S;24995;146765;2019;negro;España
Model S;59900;10000;2022;negro;España
Model S;44970;39847;2022;negro;España
Model S;31200;115551;2018;negro;España
Model 3;34500;44974;2021;negro;España
Model 3;33990;40000;2021;negro;España
Model 3;39900;79000;2019;negro;España
Model 3;42890;89500;2019;negro;España
Model 3;36900;55000;2021;negro;España
Model 3;37990;47000;2022;negro;España
Model 3;24900;88000;2019;negro;España
Model 3;56990;66066;2020;negro;España
Model 3;89900;10000;2023;negro;España
Model 3;33950;33340;2021;negro;España
Model 3;50950;59999;2020;negro;España
Model 3;22900;75000;2019;negro;España
Model 3;52900;14000;2024;negro;España
Model 3;39900;65000;2021;negro;España
Model 3;84900;10000;2023;negro;España
Model 3;41900;38000;2022;negro;España
Model X;44900;129200;2017;negro;España
Model X;49900;133500;2016;negro;España
Model X;36900;90900;2017;negro;España
Model X;47990;7000;2024;negro;España
Model X;36500;10778;2024;negro;España
Model X;34500;70604;2018;negro;España
Model X;34000;42191;2021;negro;España
Model X;35500;68295;2018;negro;España
Model X;59900;54500;2019;negro;España
Model X;28475;72000;2021;negro;España
Model X;26475;109000;2017;negro;España
Model X;45900;49000;2019;negro;España
Model X;29890;68000;2021;negro;España
Model X;33850;48000;2022;negro;España
Model X;33850;48000;2022;negro;España
Model X;47990;7000;2024;negro;España
Model S;32500;114000;2018;negro;España
Model S;32490;68867;2016;negro;España
Model S;27500;140000;2019;negro;España
Model S;32990;162000;2019;negro;España
Model S;79900;8276;2023;negro;España
Model 3;40900;37900;2021;plata;España
Model 3;40500;12146;2024;plata;España
Model 3;44900;107000;2018;plata;España
Model 3;37990;0;2023;plata;España
Model 3;29990;123000;2019;rojo;España
Model 3;29900;61046;2019;rojo;España
Model 3;44900;16500;2024;rojo;España
Model 3;54900;93000;2020;rojo;España
Model 3;29990;60000;2020;rojo;España
Model 3;59999;119990;2017;rojo;España
Model 3;34400;57522;2021;rojo;España
Model 3;49900;35;2024;rojo;España
Model 3;25490;87000;2019;rojo;España
Model 3;33990;74910;2021;rojo;España
Model 3;52900;35;2024;rojo;España
Model 3;33420;96000;2021;rojo;España
Model 3;26490;49990;2020;rojo;España
Model 3;49900;109000;2018;rojo;España
Model 3;27900;125000;2019;rojo;España
Model 3;32990;320000;2017;rojo;España
Model 3;29990;123000;2019;rojo;España
Model S;21990;233000;2014;rojo;España
Model S;38900;39000;2019;rojo;España
Model S;33420;96000;2021;rojo;España
Model S;30990;39398;2022;rojo;España
Model S;26490;49990;2020;rojo;España
Model S;25490;87000;2019;rojo;España
Model S;32500;79681;2021;rojo;España
Model 3;25990;63000;2022;azul;España
Model 3;25940;124839;2019;azul;España
Model 3;38890;89831;2019;azul;España
Model 3;31500;49000;2021;azul;España
Model 3;35000;220000;2014;azul;España
Model 3;28990;39413;2019;azul;España
Model 3;54900;58000;2020;azul;España
Model 3;25850;93000;2021;azul;España
Model 3;31900;69800;2021;azul;España
Model 3;24900;128000;2019;azul;España
Model 3;25000;137183;2019;azul;España
