modelo;kilometraje;precio;color;año;pais
Model S;6197;88890;azul;2024;España
Model S;997;90270;azul;2024;España
Model S;577;90520;negro;2024;España
Model S;1151;91080;gris;2024;España
Model S;27;91790;gris;2024;España
Model S;16;97500;plata;2024;España
Model S;503;99600;blanco;2024;España
Model S;3652;101270;negro;2024;España
Model S;98;102270;blanco;2024;España
Model S;0;102270;blanco;2024;España
Model S;1700;102320;negro;2024;España
Model S;0;102330;gris;2024;España
Model S;25;111430;plata;2024;España
Model S;21;115240;azul;2024;España
Model S;20;116660;gris;2024;España
Model 3;3057;36050;plata;2024;España
Model 3;6578;36190;azul;2024;España
Model 3;5915;37010;plata;2024;España
Model 3;0;37770;azul;2024;España
Model 3;39;38080;plata;2024;España
Model 3;3906;38300;gris;2024;España
Model 3;0;38470;plata;2024;España
Model 3;0;38470;rojo;2024;España
Model 3;15;38520;rojo;2024;España
Model 3;73;38770;negro;2024;España
Model 3;0;39120;azul;2024;España
Model 3;0;41470;blanco;2024;España
Model 3;2203;42640;blanco;2024;España
Model 3;0;42770;negro;2024;España
Model 3;4790;43560;blanco;2024;España
Model 3;0;43750;negro;2024;España
Model 3;7381;43870;plata;2024;España
Model 3;6448;44060;plata;2024;España
Model 3;2051;44360;rojo;2024;España
Model 3;0;44370;negro;2024;España
Model 3;13;45070;negro;2024;España
Model 3;222;45220;negro;2024;España
Model 3;1203;45370;plata;2024;España
Model 3;0;45470;blanco;2024;España
Model 3;0;45750;plata;2024;España
Model 3;26;45770;azul;2024;España
Model 3;4446;45990;plata;2024;España
Model 3;0;46530;azul;2024;España
Model 3;3380;46600;azul;2024;España
Model 3;440;46640;blanco;2024;España
Model 3;0;46770;gris;2024;España
Model 3;0;46770;azul;2024;España
Model 3;13;46990;plata;2024;España
Model 3;0;47470;plata;2024;España
Model 3;0;48120;gris;2024;España
Model 3;0;48370;gris;2024;España
Model 3;20;49070;blanco;2024;España
Model 3;0;49420;gris;2024;España
Model 3;3853;54660;negro;2024;España
Model 3;3325;54860;gris;2024;España
Model 3;1726;55390;negro;2024;España
Model 3;13;56020;gris;2024;España
Model 3;0;59770;azul;2024;España
Model 3;0;59770;negro;2024;España
Model 3;0;60820;negro;2024;España
Model 3;0;60820;gris;2024;España
Model X;3648;95860;blanco;2024;España
Model X;5936;100160;blanco;2024;España
Model X;4086;100570;negro;2024;España
Model X;1015;100940;blanco;2024;España
Model X;5681;102220;negro;2024;España
Model X;1405;102640;blanco;2024;España
Model X;0;104370;blanco;2024;España
Model X;208;104730;gris;2024;España
Model X;34;106050;blanco;2024;España
Model X;3295;106910;blanco;2024;España
Model X;0;107870;plata;2024;España
Model X;23;109540;plata;2024;España
Model X;3206;109710;negro;2024;España
Model X;0;110270;blanco;2024;España
Model X;60;111440;blanco;2024;España
Model X;32;113820;gris;2024;España
Model X;0;115670;blanco;2024;España
Model X;0;116170;negro;2024;España
Model X;0;118070;plata;2024;España
Model X;0;118070;blanco;2024;España
Model X;92;118070;blanco;2024;España
Model X;0;118720;plata;2024;España
Model X;0;119670;negro;2024;España
Model X;25;119820;rojo;2024;España
Model Y;8864;42140;negro;2024;España
Model Y;18609;42150;blanco;2024;España
Model Y;5950;42670;negro;2024;España
Model Y;2582;43780;plata;2024;España
Model Y;0;44260;blanco;2024;España
Model Y;6314;44390;blanco;2024;España
Model Y;5673;44770;negro;2024;España
Model Y;31;45090;rojo;2024;España
Model Y;0;45310;blanco;2024;España
Model Y;17306;45370;plata;2024;España
Model Y;8712;45370;blanco;2024;España
Model Y;8297;45420;blanco;2024;España
Model Y;0;45560;azul;2024;España
Model Y;0;45560;negro;2024;España
Model Y;1317;45660;blanco;2024;España
Model Y;5127;45890;azul;2024;España
Model Y;0;46360;blanco;2024;España
Model Y;4317;46700;rojo;2024;España
Model Y;1011;46720;rojo;2024;España
Model Y;0;46760;blanco;2024;España
Model Y;1991;46840;blanco;2024;España
Model Y;0;46860;plata;2024;España
Model Y;3485;46950;rojo;2024;España
Model Y;0;47140;negro;2024;España
Model Y;4460;47490;blanco;2024;España
Model Y;0;47660;azul;2024;España
Model Y;7086;48060;blanco;2024;España
Model Y;0;48060;azul;2024;España
Model Y;0;48060;negro;2024;España
Model Y;2545;48070;blanco;2024;España
Model Y;3294;48930;plata;2024;España
Model Y;2036;49040;blanco;2024;España
Model Y;0;49110;negro;2024;España
Model Y;0;49360;rojo;2024;España
Model Y;0;49410;azul;2024;España
Model Y;948;49460;blanco;2024;España
Model Y;55;49740;blanco;2024;España
Model Y;4018;49830;plata;2024;España
Model Y;401;49840;blanco;2024;España
Model Y;4042;50400;rojo;2024;España
Model Y;0;50410;plata;2024;España
Model Y;2501;50950;azul;2024;España
Model Y;5;50980;plata;2024;España
Model Y;12454;51260;rojo;2024;España
Model Y;2857;51420;azul;2024;España
Model Y;0;51760;blanco;2024;España
Model Y;0;51760;blanco;2024;España
Model Y;0;51760;rojo;2024;España
Model Y;689;51820;plata;2024;España
Model Y;1523;52480;negro;2024;España
Model Y;1523;52480;negro;2024;España
Model Y;4260;52920;rojo;2024;España
Model Y;12;52990;negro;2024;España
Model Y;26;53050;blanco;2024;España
Model Y;0;53060;negro;2024;España
Model Y;565;54910;blanco;2024;España
Model Y;2291;55140;blanco;2024;España
Model Y;9;55350;blanco;2024;España
Model Y;0;55640;blanco;2024;España
Model Y;0;56420;blanco;2024;España
Model Y;612;56740;azul;2024;España
Model Y;23;56870;plata;2024;España
Model Y;95;56870;plata;2024;España
Model Y;7;58350;blanco;2024;España
Model Y;179;58810;rojo;2024;España
Model Y;0;58920;rojo;2024;España
Model Y;0;58970;blanco;2024;España
Model Y;0;58970;azul;2024;España
Model Y;53;59360;plata;2024;España
Model Y;831;59960;plata;2024;España
Model Y;0;60270;azul;2024;España
Model Y;395;61500;negro;2024;España
Model Y;0;61620;negro;2024;España
Model Y;0;66420;rojo;2024;España
Model S;117457;28900;plata;2018;España
Model S;115551;31200;negro;2018;España
Model S;70615;33200;negro;2018;España
Model S;68303;33900;negro;2018;España
Model S;13184;77200;blanco;2023;España
Model S;12410;78800;negro;2023;España
Model S;8276;79900;negro;2023;España
Model S;6301;81800;blanco;2023;España
Model S;3269;83600;rojo;2023;España
Model S;15046;85700;blanco;2023;España
Model 3;60048;28900;negro;2019;España
Model 3;37725;30800;plata;2022;España
Model 3;15291;31600;negro;2022;España
Model 3;73607;32400;negro;2020;España
Model 3;79681;32500;rojo;2021;España
Model 3;63771;33000;plata;2021;España
Model 3;76961;33000;negro;2021;España
Model 3;57523;33500;rojo;2021;España
Model 3;39315;33500;blanco;2023;España
Model 3;42191;34000;negro;2021;España
Model 3;26091;34900;rojo;2021;España
Model 3;1817;36000;blanco;2024;España
Model 3;676;37000;blanco;2024;España
Model 3;728;37000;blanco;2024;España
Model 3;30168;37100;rojo;2022;España
Model 3;37484;39500;azul;2022;España
Model 3;29447;42300;blanco;2023;España
Model 3;18395;43200;rojo;2023;España
Model 3;15795;45000;gris;2024;España
Model X;108045;47900;azul;2018;España
Model X;11765;82500;negro;2023;España
Model X;20074;84000;blanco;2023;España
Model X;15048;84600;blanco;2023;España
Model X;21475;85500;plata;2023;España
Model Y;12146;40500;plata;2024;España
Model Y;48582;43800;negro;2023;España
