modelo;descripcion;kilometraje;precio;autonomia;velocidad_max;time_veloc_max;color;año;pais
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 6197 km;88.890 €;634;250;3,2;Azul Oscuro Metalizado;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 997 km;90.270 €;634;250;3,2;Azul Oscuro Metalizado;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 577 km;90.520 €;634;250;3,2;Negro Sólido;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 1151 km;91.080 €;634;250;3,2;Pintura en color Gris Sigilo;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 27 km;91.790 €;634;250;3,2;Pintura en color Gris Sigilo;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 16 km;97.500 €;634;250;3,2;Color Plateado Lunar;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 503 km;99.600 €;634;250;3,2;Blanco Perla Multicapas;2024;España
Model S;Plaid;Cuentakilómetros con 3652 km;101.270 €;600;322;2,1;Negro Sólido;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 98 km;102.270 €;634;250;3,2;Blanco Perla Multicapas;2024;España
Model S;Model S, tracción a las cuatro ruedas;102.270 €;102.270 €;634;250;3,2;Blanco Perla Multicapas;2024;España
Model S;Plaid;Cuentakilómetros con 1700 km;102.320 €;600;322;2,1;Negro Sólido;2024;España
Model S;Model S, tracción a las cuatro ruedas;Cuentakilómetros con 0 km;102.330 €;634;250;3,2;Pintura en color Gris Sigilo;2024;España
Model S;Plaid;Cuentakilómetros con 25 km;111.430 €;600;322;2,1;Color Plateado Lunar;2024;España
Model S;Plaid;Cuentakilómetros con 21 km;115.240 €;600;322;2,1;Azul Oscuro Metalizado;2024;España
Model S;Plaid;Cuentakilómetros con 20 km;116.660 €;600;322;2,1;Pintura en color Gris Sigilo;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 3057 km;36.050 €;513;201;6,1;Pintura Plateado Mercurio;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 6578 km;36.190 €;513;201;6,1;Azul Oscuro Metalizado;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 5915 km;37.010 €;513;201;6,1;Pintura Plateado Mercurio;2024;España
Model 3;Model 3 Tracción trasera;37.770 €;37.770 €;513;201;6,1;Azul Oscuro Metalizado;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 39 km;38.080 €;513;201;6,1;Pintura Plateado Mercurio;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 3906 km;38.300 €;513;201;6,1;Pintura en color Gris Sigilo;2024;España
Model 3;Model 3 Tracción trasera;38.470 €;38.470 €;513;201;6,1;Pintura Plateado Mercurio;2024;España
Model 3;Model 3 Tracción trasera;38.470 €;38.470 €;513;201;6,1;Pintura en color Ultra Rojo;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 15 km;38.520 €;513;201;6,1;Pintura en color Ultra Rojo;2024;España
Model 3;Model 3 Tracción trasera;Cuentakilómetros con 73 km;38.770 €;513;201;6,1;Color Negro Sólido;2024;España
Model 3;Model 3 Tracción trasera;39.120 €;39.120 €;513;201;6,1;Azul Oscuro Metalizado;2024;España
Model 3;Model 3 Gran autonomía con tracción trasera;41.470 €;41.470 €;702;201;5,2;Color Blanco Perla Multicapas;2024;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 2203 km;42.640 €;629;201;4,4;Color Blanco Perla Multicapas;2024;España
Model 3;Model 3 Gran autonomía con tracción trasera;42.770 €;42.770 €;702;201;5,2;Color Negro Sólido;2024;España
Model 3;Gran autonomía con tracción integral;Cuentakilómetros con 4790 km;43.560 €;629;201;4,4;Color Blanco Perla Multicapas;2024;España
