modelo,precio,matriculacion,kilometraje,color,pais
Tesla Model 3,33500,2023,39315,blanco,Spain
Tesla Model 3,36000,2024,1817,blanco,Spain
Tesla Model 3,37000,2024,676,blanco,Spain
Tesla Model 3,37000,2024,728,blanco,Spain
Tesla Model 3 Long Range RWD,41470,2025,10,blanco,Spain
Tesla Model Y Long Range RWD,42150,2024,18609,blanco,Spain
Tesla Model 3 Performance,42300,2023,29444,blanco,Spain
Tesla Model 3 Long Range AWD,42640,2024,2204,blanco,Spain
Tesla Model 3 Long Range AWD,43560,2024,4790,blanco,Spain
Tesla Model Y Standard Range,44260,2025,0,blanco,Spain
Tesla Model Y Standard Range,44390,2024,6314,blanco,Spain
Tesla Model Y Standard Range,45310,2024,8,blanco,Spain
Tesla Model Y Long Range RWD,45370,2024,8686,blanco,Spain
Tesla Model Y Long Range RWD,45420,2024,8298,blanco,Spain
Tesla Model 3 Long Range AWD,45470,2025,9,blanco,Spain
Tesla Model Y Standard Range,45660,2024,1317,blanco,Spain
Tesla Model Y Standard Range,46360,2025,0,blanco,Spain
Tesla Model 3 Long Range AWD,46640,2024,440,blanco,Spain
Tesla Model Y Long Range RWD,46760,2025,0,blanco,Spain
Tesla Model Y Long Range RWD,46840,2024,1991,blanco,Spain
Tesla Model Y Long Range RWD,47490,2024,4462,blanco,Spain
Tesla Model Y Long Range AWD,48060,2023,7086,blanco,Spain
Tesla Model Y Long Range RWD,48070,2024,2516,blanco,Spain
Tesla Model Y Long Range AWD,49040,2023,2036,blanco,Spain
Tesla Model 3 Long Range AWD,49070,2024,21,blanco,Spain
Tesla Model Y Long Range RWD,49460,2024,907,blanco,Spain
Tesla Model Y Long Range RWD,49740,2024,55,blanco,Spain
Tesla Model Y Long Range AWD,49840,2024,400,blanco,Spain
Tesla Model Y Long Range AWD,51760,2024,0,blanco,Spain
Tesla Model Y Long Range AWD,51760,2023,0,blanco,Spain
Tesla Model Y Long Range AWD,53050,2024,26,blanco,Spain
Tesla Model Y Long Range AWD,54910,2024,565,blanco,Spain
Tesla Model Y Performance,55140,2024,2291,blanco,Spain
Tesla Model Y Long Range AWD,55350,2024,9,blanco,Spain
Tesla Model Y Performance,55640,2024,0,blanco,Spain
Tesla Model Y Long Range AWD,56420,2025,10,blanco,Spain
Tesla Model Y Performance,58350,2024,7,blanco,Spain
Tesla Model Y Performance,58970,2025,0,blanco,Spain
Tesla Model S,77200,2023,13178,blanco,Spain
Tesla Model S,81800,2023,6300,blanco,Spain
Tesla Model X Plaid,84000,2023,20073,blanco,Spain
Tesla Model X Plaid,84600,2023,15035,blanco,Spain
Tesla Model S Plaid,85700,2023,15040,blanco,Spain
Tesla Model X,95860,2024,3649,blanco,Spain
Tesla Model S,99600,2023,503,blanco,Spain
Tesla Model X,100160,2024,5936,blanco,Spain
Tesla Model X,100940,2024,979,blanco,Spain
Tesla Model S,102270,2023,0,blanco,Spain
Tesla Model S,102270,2023,98,blanco,Spain
Tesla Model X,102640,2023,1405,blanco,Spain
Tesla Model X,104370,2023,31,blanco,Spain
Tesla Model X Plaid,106050,2024,34,blanco,Spain
Tesla Model X,106910,2023,3295,blanco,Spain
Tesla Model X,110270,2023,0,blanco,Spain
Tesla Model X Plaid,111440,2024,60,blanco,Spain
Tesla Model X,115670,2023,0,blanco,Spain
Tesla Model X,118070,2023,0,blanco,Spain
Tesla Model X,118070,2023,92,blanco,Spain
Tesla Model 3,36190,2024,6578,azul,Spain
Tesla Model 3,37770,2025,0,azul,Spain
Tesla Model 3,39120,2024,0,azul,Spain
Tesla Model 3 Long Range AWD,39500,2022,37484,azul,Spain
Tesla Model Y Standard Range,45560,2025,0,azul,Spain
Tesla Model 3 Long Range AWD,45770,2024,25,azul,Spain
Tesla Model Y Standard Range,45890,2024,5128,azul,Spain
Tesla Model 3 Long Range AWD,46530,2024,15,azul,Spain
Tesla Model 3 Long Range AWD,46600,2024,3380,azul,Spain
Tesla Model 3 Long Range AWD,46770,2024,10,azul,Spain
Tesla Model Y Standard Range,47660,2025,4,azul,Spain
Tesla Model X 100D,47900,2018,108044,azul,Spain
Tesla Model Y Long Range RWD,48060,2025,4,azul,Spain
Tesla Model Y Long Range RWD,49410,2025,0,azul,Spain
Tesla Model Y Long Range AWD,50950,2024,2501,azul,Spain
Tesla Model Y Long Range AWD,51420,2024,2857,azul,Spain
Tesla Model Y Performance,56740,2024,612,azul,Spain
Tesla Model Y Performance,58970,2024,9,azul,Spain
Tesla Model 3 Performance,59770,2025,10,azul,Spain
Tesla Model Y Performance,60270,2024,7,azul,Spain
Tesla Model S,88890,2023,6196,azul,Spain
Tesla Model S,90270,2024,942,azul,Spain
Tesla Model S Plaid,115240,2024,21,azul,Spain
Tesla Model 3 Long Range AWD,28900,2019,60048,negro,Spain
Tesla Model 3,31600,2022,15290,negro,Spain
Tesla Model 3 Long Range AWD,32400,2020,73607,negro,Spain
Tesla Model 3 Long Range AWD,33000,2021,76956,negro,Spain
Tesla Model S 75D,33200,2018,70614,negro,Spain
Tesla Model S 75D,33900,2018,68302,negro,Spain
Tesla Model 3 Long Range AWD,34000,2021,42189,negro,Spain
Tesla Model 3,38770,2024,73,negro,Spain
Tesla Model Y Standard Range,42140,2024,8864,negro,Spain
Tesla Model Y Standard Range,42670,2024,5950,negro,Spain
Tesla Model 3 Long Range RWD,42770,2025,0,negro,Spain
Tesla Model 3 Long Range AWD,43750,2024,15,negro,Spain
Tesla Model Y Performance,43800,2023,48582,negro,Spain
Tesla Model 3 Long Range RWD,44370,2025,9,negro,Spain
Tesla Model Y Standard Range,44770,2024,5624,negro,Spain
Tesla Model 3 Long Range AWD,45070,2024,13,negro,Spain
Tesla Model 3 Long Range AWD,45220,2024,223,negro,Spain
Tesla Model Y Standard Range,45560,2024,0,negro,Spain
Tesla Model Y Long Range RWD,47140,2024,9,negro,Spain
Tesla Model Y Long Range RWD,48060,2025,0,negro,Spain
Tesla Model Y Long Range RWD,49110,2025,2,negro,Spain
Tesla Model Y Long Range AWD,52480,2024,1520,negro,Spain
Tesla Model Y Long Range AWD,52990,2024,12,negro,Spain
Tesla Model Y Long Range AWD,53060,2025,2,negro,Spain
Tesla Model 3 Performance,54660,2024,3853,negro,Spain
Tesla Model 3 Performance,55390,2024,1726,negro,Spain
Tesla Model 3 Performance,59770,2024,0,negro,Spain
Tesla Model 3 Performance,60820,2024,0,negro,Spain
Tesla Model Y Performance,61500,2024,395,negro,Spain
Tesla Model Y Performance,61620,2024,6,negro,Spain
Tesla Model S,78800,2023,12410,negro,Spain
Tesla Model S,79900,2023,8276,negro,Spain
Tesla Model X,82500,2023,11765,negro,Spain
Tesla Model S,90520,2024,577,negro,Spain
Tesla Model X,100570,2024,4022,negro,Spain
