modelo,precio,matriculacion,kilometraje,color,pais
Tesla Model 3,"35,100€",2023,"39,315kms",blanco,Spain
Tesla Model 3,"36,470€",2025,0kms,blanco,Spain
Tesla Model 3,"36,700€",2024,"1,817kms",blanco,Spain
Tesla Model 3,"37,000€",2024,21kms,blanco,Spain
Tesla Model 3,"37,300€",2024,676kms,blanco,Spain
Tesla Model 3,"37,300€",2024,692kms,blanco,Spain
Tesla Model 3,"37,500€",2024,14kms,blanco,Spain
Tesla Model 3,"37,520€",2025,0kms,blanco,Spain
Tesla Model 3,"37,520€",2024,0kms,blanco,Spain
Tesla Model 3,"38,070€",2025,0kms,blanco,Spain
Tesla Model 3,"38,070€",2024,12kms,blanco,Spain
Tesla Model 3,"38,870€",2025,0kms,blanco,Spain
Tesla Model 3,"39,120€",2024,0kms,blanco,Spain
Tesla Model 3,"39,420€",2025,12kms,blanco,Spain
Tesla Model 3,"39,420€",2024,0kms,blanco,Spain
Tesla Model 3 Long Range RWD,"41,470€",2025,0kms,blanco,Spain
Tesla Model Y Standard Range,"44,260€",2025,0kms,blanco,Spain
Tesla Model Y Standard Range,"44,490€",2024,"6,282kms",blanco,Spain
Tesla Model Y Long Range RWD,"45,560€",2024,"7,986kms",blanco,Spain
Tesla Model Y Long Range RWD,"45,560€",2024,"7,996kms",blanco,Spain
Tesla Model Y Standard Range,"45,750€",2024,"1,317kms",blanco,Spain
Tesla Model 3 Long Range AWD,"45,980€",2024,"2,204kms",blanco,Spain
Tesla Model Y Long Range RWD,"46,930€",2024,"1,991kms",blanco,Spain
Tesla Model 3 Long Range AWD,"46,940€",2024,"4,790kms",blanco,Spain
Tesla Model Y Long Range RWD,"47,580€",2024,"4,462kms",blanco,Spain
Tesla Model 3 Performance,"47,700€",2023,"29,444kms",blanco,Spain
Tesla Model Y Long Range AWD,"48,110€",2023,"7,085kms",blanco,Spain
Tesla Model Y Long Range RWD,"48,210€",2024,"2,376kms",blanco,Spain
Tesla Model 3 Long Range AWD,"48,340€",2024,223kms,blanco,Spain
Tesla Model 3 Long Range AWD,"48,760€",2025,0kms,blanco,Spain
Tesla Model Y Long Range AWD,"49,040€",2023,"2,036kms",blanco,Spain
Tesla Model Y Long Range RWD,"49,160€",2025,2kms,blanco,Spain
